year,num_countries,num_edges,density,mean_degree,std_degree,min_degree,max_degree,total_gdp,mean_gdp
2000,193,13316,0.7186960276338514,137.9896373056995,41.35715658004776,31,192,47911414827245.55,248245672680.02875
2001,193,13501,0.7286809153713298,139.90673575129534,40.98946668962797,35,192,48893131461398.33,253332287364.75827
2002,197,13808,0.7152180669222004,140.18274111675126,43.140981336298644,1,195,50024924947778.44,253933629176.54028
2003,196,14099,0.7377812663526949,143.8673469387755,40.69301142303862,33,195,51567876661177.2,263101411536.61838
2004,197,14431,0.747487827618357,146.50761421319797,40.35925211601249,1,195,53910027709960.83,273654962994.72507
2005,196,14491,0.7582940868655155,147.8673469387755,39.26678446663313,38,195,56062472859471.336,286033024793.2212
2006,199,15191,0.7710776102735901,152.67336683417085,38.860643229133714,46,198,58618910217053.266,294567388025.3934
2007,200,15459,0.7768341708542713,154.59,37.95460314639055,58,199,61203319466046.79,306016597330.2338
2008,201,15878,0.7899502487562189,157.9900497512438,37.18957619561515,61,200,62495914870191.91,310924949602.9447
2009,201,15912,0.7916417910447762,158.32835820895522,36.85039867327285,56,200,61672779453018.44,306829748522.4798
2010,201,16032,0.7976119402985075,159.52238805970148,36.54099784694453,56,200,64445414293048.914,320623951706.71106
2011,203,16203,0.7902745939618593,159.63546798029557,38.01497142399559,8,201,66606516340279.12,328110917932.4093
2012,203,16167,0.7885187533531678,159.2807881773399,38.833546203106735,12,201,68451643931328.445,337200216410.4848
2013,204,16440,0.7939727615184005,161.1764705882353,37.94356277645397,41,203,70436182914172.47,345275406442.0219
2014,204,16332,0.7887568820631701,160.11764705882354,38.7984470372576,48,203,72639824581459.64,356077571477.7436
2015,205,16686,0.7979913916786227,162.79024390243902,38.1301993168212,48,204,74923110317061.62,365478586912.4956
2016,203,16655,0.8123201482709848,164.0886699507389,36.040508403936535,50,202,77004584997967.81,379332931024.4718
2017,203,16829,0.8208067112129932,165.80295566502463,35.05829896386038,48,202,79669675424449.81,392461455292.85614
2018,203,16853,0.8219772716187875,166.03940886699507,34.68746346762832,53,202,82288933504649.05,405364204456.3994
2019,202,16544,0.8149352248657702,163.8019801980198,36.26143242106316,59,201,84454285990883.7,418090524707.34485
2020,202,16358,0.8057731146248953,161.96039603960395,37.10005758904532,48,201,81971727079473.81,405800629106.30615
