year,num_countries,num_edges,network_density,mean_degree,std_degree,max_degree,min_degree,total_gdp,mean_gdp,mean_fitness
2000,193,13316,0.7186960276338514,137.9896373056995,41.35715658004776,192,31,47911414827245.55,248245672680.02875,0.0051813471502590676
2001,193,13501,0.7286809153713298,139.90673575129534,40.98946668962797,192,35,48893131461398.33,253332287364.75827,0.005181347150259069
2002,197,13808,0.7152180669222004,140.18274111675126,43.140981336298644,195,1,50024924947778.44,253933629176.54028,0.005076142131979695
2003,196,14099,0.7377812663526949,143.8673469387755,40.69301142303862,195,33,51567876661177.2,263101411536.61838,0.00510204081632653
2004,197,14431,0.747487827618357,146.50761421319797,40.35925211601249,195,1,53910027709960.83,273654962994.72507,0.005076142131979697
2005,196,14491,0.7582940868655155,147.8673469387755,39.26678446663313,195,38,56062472859471.336,286033024793.2212,0.005102040816326532
2006,199,15191,0.7710776102735901,152.67336683417085,38.860643229133714,198,46,58618910217053.266,294567388025.3934,0.005025125628140705
2007,200,15459,0.7768341708542713,154.59,37.95460314639055,199,58,61203319466046.79,306016597330.2338,0.0049999999999999975
2008,201,15878,0.7899502487562189,157.9900497512438,37.18957619561515,200,61,62495914870191.91,310924949602.9447,0.004975124378109452
2009,201,15912,0.7916417910447762,158.32835820895522,36.85039867327285,200,56,61672779453018.44,306829748522.4798,0.004975124378109453
2010,201,16032,0.7976119402985075,159.52238805970148,36.54099784694453,200,56,64445414293048.914,320623951706.71106,0.004975124378109453
2011,203,16203,0.7902745939618593,159.63546798029557,38.01497142399559,201,8,66606516340279.12,328110917932.4093,0.004926108374384234
2012,203,16167,0.7885187533531678,159.2807881773399,38.833546203106735,201,12,68451643931328.445,337200216410.4848,0.004926108374384235
2013,204,16440,0.7939727615184005,161.1764705882353,37.94356277645397,203,41,70436182914172.47,345275406442.0219,0.0049019607843137246
2014,204,16332,0.7887568820631701,160.11764705882354,38.7984470372576,203,48,72639824581459.64,356077571477.7436,0.004901960784313729
2015,205,16686,0.7979913916786227,162.79024390243902,38.1301993168212,204,48,74923110317061.62,365478586912.4956,0.004878048780487803
2016,203,16655,0.8123201482709848,164.0886699507389,36.040508403936535,202,50,77004584997967.81,379332931024.4718,0.004926108374384235
2017,203,16829,0.8208067112129932,165.80295566502463,35.05829896386038,202,48,79669675424449.81,392461455292.85614,0.004926108374384236
2018,203,16853,0.8219772716187875,166.03940886699507,34.68746346762832,202,53,82288933504649.05,405364204456.3994,0.004926108374384238
2019,202,16544,0.8149352248657702,163.8019801980198,36.26143242106316,201,59,84454285990883.7,418090524707.34485,0.004950495049504948
2020,202,16358,0.8057731146248953,161.96039603960395,37.10005758904532,201,48,81971727079473.81,405800629106.30615,0.004950495049504951
